score,name,brand,lat,lng,issue_types,notes
155,My Gas,Independent,7.461571,125.804834,"generic_brand,duplicate_name,nearby_duplicate,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 3 times; nearest is 988m away. Nearby candidate within 144m: Super Kymer. Fuel prices are placeholders and must be replaced.
155,Super Kymer,Independent,7.462484,125.805754,"generic_brand,duplicate_name,nearby_duplicate,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 2 times; nearest is 1378m away. Nearby candidate within 144m: My Gas. Fuel prices are placeholders and must be replaced.
145,Unnamed Fuel Station 55,Independent,7.43628,125.774118,"unnamed,generic_brand,placeholder_prices",Generated fallback name from OSM; needs manual naming. Brand could not be confidently inferred from OSM tags. Fuel prices are placeholders and must be replaced.
120,Petron,Petron,7.462117,125.805282,"duplicate_name,nearby_duplicate,placeholder_prices",Same station name appears 10 times; nearest is 34m away. Nearby candidate within 34m: Petron. Fuel prices are placeholders and must be replaced.
120,Petron,Petron,7.462249,125.805562,"duplicate_name,nearby_duplicate,placeholder_prices",Same station name appears 10 times; nearest is 34m away. Nearby candidate within 34m: Petron. Fuel prices are placeholders and must be replaced.
100,Blue Panda,Independent,7.394209,125.767709,"generic_brand,duplicate_name,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 2 times; nearest is 8920m away. Fuel prices are placeholders and must be replaced.
100,Bumble V,Independent,7.427959,125.825622,"generic_brand,duplicate_name,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 2 times; nearest is 3534m away. Fuel prices are placeholders and must be replaced.
100,Fusion,Independent,7.423225,125.791171,"generic_brand,duplicate_name,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 5 times; nearest is 3187m away. Fuel prices are placeholders and must be replaced.
100,Fusion,Independent,7.423978,125.830043,"generic_brand,duplicate_name,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 5 times; nearest is 3453m away. Fuel prices are placeholders and must be replaced.
100,Fusion,Independent,7.44632,125.80829,"generic_brand,duplicate_name,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 5 times; nearest is 1628m away. Fuel prices are placeholders and must be replaced.
100,Fusion,Independent,7.463559,125.802467,"generic_brand,duplicate_name,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 5 times; nearest is 1155m away. Fuel prices are placeholders and must be replaced.
100,Gas Island,Independent,7.455562,125.803724,"generic_brand,duplicate_name,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 6 times; nearest is 1037m away. Fuel prices are placeholders and must be replaced.
100,Gas Island,Independent,7.449667,125.811007,"generic_brand,duplicate_name,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 6 times; nearest is 1037m away. Fuel prices are placeholders and must be replaced.
100,Gas Island,Independent,7.439085,125.802663,"generic_brand,duplicate_name,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 6 times; nearest is 747m away. Fuel prices are placeholders and must be replaced.
100,My Gas,Independent,7.45293,125.802762,"generic_brand,duplicate_name,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 3 times; nearest is 988m away. Fuel prices are placeholders and must be replaced.
100,Velox Energy,Independent,7.447891,125.825254,"generic_brand,duplicate_name,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 2 times; nearest is 3254m away. Fuel prices are placeholders and must be replaced.
100,Velox Energy,Independent,7.458656,125.79781,"generic_brand,duplicate_name,placeholder_prices",Brand could not be confidently inferred from OSM tags. Same station name appears 2 times; nearest is 3254m away. Fuel prices are placeholders and must be replaced.
